name,id,home,team,pos,defense_ast,defense_ffum,defense_fgblk,defense_frec,defense_frec_tds,defense_frec_yds,defense_int,defense_int_tds,defense_int_yds,defense_misc_tds,defense_misc_yds,defense_pass_def,defense_puntblk,defense_qbhit,defense_safe,defense_sk,defense_sk_yds,defense_tds,defense_tkl,defense_tkl_loss,defense_tkl_loss_yds,defense_tkl_primary,defense_xpblk,fumbles_forced,fumbles_lost,fumbles_notforced,fumbles_oob,fumbles_rcv,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgb,kicking_fgm,kicking_fgm_yds,kicking_fgmissed,kicking_fgmissed_yds,kicking_fgyds,kicking_i20,kicking_rec,kicking_tot,kicking_totpfg,kicking_touchback,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kicking_yds,kickret_avg,kickret_fair,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,kickret_yds,passing_att,passing_cmp,passing_cmp_air_yds,passing_incmp,passing_incmp_air_yds,passing_int,passing_ints,passing_sk,passing_sk_yds,passing_tds,passing_twopta,passing_twoptm,passing_twoptmissed,passing_yds,penalty,penalty_yds,punting_avg,punting_blk,punting_i20,punting_lng,punting_pts,punting_tot,punting_touchback,punting_yds,puntret_avg,puntret_fair,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,puntret_tot,puntret_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_twoptmissed,receiving_yac_yds,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_twoptmissed,rushing_yds
D.Bryant,00-0027902,no,DAL,WR,,,,,,,,,,,,,,,,,,,1,,,,,3,2,2,,2,2,,0,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,45,,,,,,,,,24,1,61,0,12,0,12,66,520,282,92,135,12,2,1,1,438,1382,2,-5,0,0,0,0,,-5
C.Blackburn,00-0023693,no,NYG,,34,4,,,,,1,,0,,,6,,7,,3,-19,,64,6,25,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Murray,00-0028009,no,DAL,RB,,,,,,,,,,,,,,,,,,,2,,,,,3,2,,,1,1,,0,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,0,34,41,0,0,0,,237,247,161,199,16,4,0,0,,663
R.Bernard,00-0021261,no,NYG,,14,0,,,,,0,,,,,,,1,,1,-8,,16,2,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Romo,00-0021678,no,DAL,QB,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,,2,2,,-15,6,2,-15,,,,,,,,,,,,,,,,,,,,,,,,,,648,425,2964,223,2764,19,19,36,-263,28,2,1,1,4903,6,30,,,,,,,,,,,,,,,,,-1,0,1,1,0,0,0,,-1,-1,30,58,1,1,1,1,,49
F.Jones,00-0026162,no,DAL,,,,,,,,,,,,,,,,,,,,1,,,,,1,2,1,,0,,,,2,0,0,,,,,,,,,,,,,,,,,,,83,,98,0,11,0,236,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,155,21,26,37,2,0,0,,224,266,111,120,28,3,0,0,,402
D.Hixon,00-0024345,no,NYG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,20,4,25,0,5,0,5,36,290,18,39,59,2,0,0,,135,567,,,,,,,,
C.Jones,00-0028664,no,DAL,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,1,6,198,12,12,,542,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Vickers,00-0024394,no,DAL,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,14,0,1,0,14,,,,,,,,,,,,,,,3,30,,,,,,,,,,,,,,,,,93,0,13,15,0,0,0,,90,104,3,13,0,0,0,0,,11
A.Albright,00-0028614,no,DAL,,6,0,,,,,0,,,,,,,,,0,,,25,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Hosley,00-0029267,no,NYG,CB,8,1,,1,,0,1,,0,,,5,,,,0,,,32,1,1,7,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Price-Brent,00-0027852,no,DAL,,9,1,,,,,0,,,,,1,,5,,1.5,-9,,13,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Bradshaw,00-0025637,no,NYG,,,,,,,,,,,,,,,,,,,,2,,,,,2,3,1,,0,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,,,,,,,,,,,,,,,,,187,0,23,31,0,0,0,,274,245,221,222,30,6,0,0,,1015
D.Ware,00-0023445,no,DAL,OLB,22,5,,1,,0,0,,,,,,,20,,11.0,-70,,33,9,39,5,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.Sensabaugh,00-0023590,no,DAL,,16,1,,,,,0,,,,,3,,,,0,,,42,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Bennett,00-0026201,no,NYG,TE,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,13,0,1,0,13,,,,,,,,,,,,,,,2,15,,,,,,,,,,,,,,,,,288,66,55,90,5,0,0,,205,626,,,,,,,,
B.Carter,00-0027978,no,DAL,LB,19,0,,,,,0,,,,,2,,2,,0,,,51,9,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Claiborne,00-0029676,no,DAL,CB,12,1,,2,1,50,1,,0,,,8,,,,0,,1,43,1,2,,,,0,,,0,,,,0,2,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Lissemore,00-0027826,no,DAL,NT,20,0,,,,,0,,,,,,,2,,1,-8,,15,1,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Snee,00-0022838,no,NYG,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Church,00-0027416,no,DAL,SS,2,0,,1,,6,0,,,,,,,,,0,,,4,,,,,,0,,,0,,,,0,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Joseph,00-0027885,no,NYG,DT,25,1,,2,,16,0,,,,,,,7,,4,-17,,33,5,18,13,,,0,,,0,,,,0,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Smith,00-0027947,no,DAL,T,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Austin,00-0023921,no,DAL,WR,,,,,,,,,,,,,,,,,,,4,,,,,1,1,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,138,66,119,6,0,0,,292,943,,,,,,,,
K.Rivers,00-0026149,no,NYG,,9,0,,1,,0,0,,,,,1,,2,,0,,,34,2,2,9,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Phillips,00-0026171,no,NYG,FS,6,0,,,,,0,,,,,3,,,,0,,,18,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Williams,00-0028140,no,NYG,,9,0,,,,,0,,,,,2,,1,,1,-1,,21,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Ogletree,00-0026780,no,DAL,,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,1,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,251,71,32,55,4,0,0,,82,436,2,9,0,0,0,0,,9
J.Witten,00-0022127,no,DAL,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,45,,,,,,,,,,,,,,,,,284,31,110,147,3,0,0,,317,1039,,,,,,,,
C.Webster,00-0023478,no,NYG,,6,0,,,,,4,,45,,,13,,,,0,,,52,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Rolle,00-0023443,no,NYG,SS,23,1,,1,,0,2,,42,,,5,,,,0,,,73,4,3,19,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Coe,00-0025560,no,NYG,,2,0,,1,,0,0,,,,,2,,,,0,,,12,1,1,2,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Spencer,00-0025413,no,DAL,LB,39,2,,1,,0,0,,,,,3,,13,,11.5,-87,,56,14,73,1,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O.Scandrick,00-0026283,no,DAL,CB,5,0,,,,,0,,,,,5,,,,0,,,16,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Tuck,00-0023509,no,NYG,DE,18,0,,,,,0,,,,,1,,8,,4,-25,,27,4,25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Boley,00-0023593,no,NYG,,28,0,,2,1,70,3,,74,,,4,,3,,0.5,-12,1,65,4,6,17,,,0,,,0,,,,0,2,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Spears,00-0023455,no,DAL,,18,0,,,,,0,,,,,1,,1,,1,-2,,7,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Tynes,00-0019778,no,NYG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,1,33,1117,6,254,492,19,,94,99,24,46,0,46,0,46,6001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.Hill,00-0029407,no,NYG,SS,9,1,,1,,0,0,,,,,2,,,,0,,,29,2,1,2,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Hanna,00-0029634,no,DAL,TE,2,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,0,8,11,0,0,0,,50,86,,,,,,,,
J.Pierre-Paul,00-0027867,no,NYG,,23,1,,1,,10,1,1,28,,,5,,9,,6.5,-73,1,43,13,72,15,,,0,,,0,,,,0,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Free,00-0025509,no,DAL,T,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,1,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Coleman,00-0021262,no,DAL,,3,1,,,,,0,,,,,,,,,0,,,12,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Kiwanuka,00-0024247,no,NYG,,10,0,,,,,0,,,,,,,5,,3,-27,,27,5,37,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Brown,00-0027094,no,NYG,,,,,,,,,,,,,,,,,,,,2,,,,,,0,,,1,1,,1,0,1,1,,,,,,,,,,,,,,,,,,,27,,35,0,3,0,42,,,,,,,,,,,,,,,1,13,,,,,,,,,,,,,,,,,53,0,12,17,0,0,0,,73,86,73,131,10,8,1,1,,385
H.Hynoski,00-0028492,no,NYG,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,1,11,15,1,0,0,,33,50,5,20,0,0,0,0,,20
V.Butler,00-0027079,no,DAL,,4,2,,1,,0,0,,,,,3,,5,,3,-25,,21,3,16,4,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Silva,00-0028488,no,DAL,,0,0,,,,,0,,,,,,,,,0,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Paysinger,00-0028368,no,NYG,LB,12,1,,1,,0,0,,,,,,,,,0,,,27,2,6,5,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Phillips,00-0027139,no,DAL,TE,1,,,1,,0,,,,,,,,,,,,,3,,,,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,20,,20,0,1,0,20,,,,,,,,,,,,,,,3,25,,,,,,,,,,,,,,,,,42,1,8,10,1,0,0,,6,55,,,,,,,,
B.Pascoe,00-0026931,no,NYG,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,6,4,9,1,0,0,,18,35,,,,,,,,
S.Brown,00-0027842,no,NYG,,12,2,,2,,9,8,,307,,,11,,1,,0,,,64,3,5,10,,,0,,,0,,,,0,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Harris,00-0028114,no,DAL,WR,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,135,0,10,0,210,,,,,,,,,,,,,,,,,,,,,,,,,162,11,270,78,22,1,22,354,135,16,17,31,1,1,1,,115,222,,,,,,,,
J.Tryon,00-0026264,no,NYG,,1,0,,1,,0,0,,,,,,,,,0,,,17,,,2,,,0,,,1,1,,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Kuhn,00-0029312,no,NYG,DT,4,0,,,,,0,,,,,4,,,,0,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O.Umenyiora,00-0021977,no,NYG,,15,2,,,,,0,,,,,1,,12,,6,-36,,27,7,36,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Bernadeau,00-0026390,no,DAL,G,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Carr,00-0026280,no,DAL,CB,5,0,,,,,3,1,120,,,11,,,,0,,1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Hester,00-0024272,no,CHI,WR,,,,,,,,,,,,,,,,,,,2,,,,,1,0,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,293,,346,0,24,0,621,,,,,,,,,,,,,,,3,19,,,,,,,,,122,6,214,0,40,0,40,331,171,34,23,40,1,0,0,,102,242,3,6,0,0,0,0,,6
J.Hickman,00-0024582,no,IND,,5,0,,,,,0,,,,,,,1,,0,,,7,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.McAfee,00-0027145,no,IND,P,1,0,,,,,0,,,,,,,,,0,,,4,,,,,,,,,,,,,,,,,,,,,,,11,,74,,43,,,,,,4878,,,,,,,,,,,,,,,,,,,,,,,,622,1,26,922,73,73,7,3500,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Mathis,00-0022059,no,IND,OLB,11,1,,,,,1,,1,,,2,,13,,8,-54,,22,9,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Cutler,00-0024226,no,CHI,QB,,,,,,,,,,,,,,,,,,,2,,,,,6,4,2,,1,1,,0,8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,434,255,1890,179,2425,14,14,39,-264,19,1,0,,3033,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,40,168,0,0,0,0,,233
G.Carimi,00-0027967,no,CHI,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,1,1,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Fokou,00-0026951,no,IND,,12,1,,,,,0,,,,,2,,5,,1,-6,,31,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Forte,00-0026184,no,CHI,RB,,,,,,,,,,,,,,,,,,,2,,,,,1,1,1,,1,1,,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,12,44,60,1,0,0,,294,340,248,308,32,5,0,0,,1094
J.King,00-0026241,no,IND,,2,0,,,,,0,,,,,2,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Jeffery,00-0029137,no,CHI,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,40,,,,,,,,,,,,,,,,,214,75,24,48,3,0,0,,65,367,,,,,,,,
A.Podlesh,00-0025488,no,CHI,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,245,,,,,,,,,,,,,,,,,,,,,,,,627,,34,803,81,81,6,3399,,,,,,,,,,,,,,,,,,,,,,,1,1,,
L.Brazill,00-0029548,no,IND,,,,,,,,,,,,,,,,,,,,4,,,,,1,1,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,32,,35,0,3,0,50,,,,,,,,,,,,,,,,,,,,,,,,,6,1,8,0,2,0,2,12,159,42,11,24,1,0,0,,72,186,,,,,,,,
D.Jones,00-0028994,no,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,8,0,1,1,0,0,0,,5,8,,,,,,,,
L.Briggs,00-0022128,no,CHI,,29,2,,,,,2,2,110,,,11,,2,,1.5,-10,2,73,7,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Luck,00-0029668,no,IND,QB,,,,,,,,,,,,,,,,,,,3,,,,,9,5,1,1,2,2,,-3,10,2,-3,,,,,,,,,,,,,,,,,,,,,,,,,,627,339,2715,288,3630,18,18,41,-246,23,1,0,1,4374,4,33,,,,,,,,,,,,,,,,,,,,,,,,,,,62,131,13,5,0,0,,255
