name,id,home,team,pos,defense_ast,defense_ffum,defense_fgblk,defense_frec,defense_frec_tds,defense_frec_yds,defense_int,defense_int_tds,defense_int_yds,defense_misc_tds,defense_misc_yds,defense_pass_def,defense_puntblk,defense_qbhit,defense_safe,defense_sk,defense_sk_yds,defense_tds,defense_tkl,defense_tkl_loss,defense_tkl_loss_yds,defense_tkl_primary,defense_xpblk,fumbles_forced,fumbles_lost,fumbles_notforced,fumbles_oob,fumbles_rcv,fumbles_rec,fumbles_rec_yds,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgb,kicking_fgm,kicking_fgm_yds,kicking_fgmissed,kicking_fgmissed_yds,kicking_fgyds,kicking_i20,kicking_rec,kicking_tot,kicking_totpfg,kicking_touchback,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kicking_yds,kickret_avg,kickret_fair,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,kickret_yds,passing_att,passing_cmp,passing_cmp_air_yds,passing_incmp,passing_incmp_air_yds,passing_int,passing_ints,passing_sk,passing_sk_yds,passing_tds,passing_twopta,passing_twoptm,passing_twoptmissed,passing_yds,penalty,penalty_yds,punting_avg,punting_blk,punting_i20,punting_lng,punting_pts,punting_tot,punting_touchback,punting_yds,puntret_avg,puntret_fair,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,puntret_tot,puntret_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_twoptmissed,receiving_yac_yds,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_twoptmissed,rushing_yds
R.Johnson,00-0027067,no,ARI,FS,2,0,,,,,1,,5,,,1,,,,0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Washington,00-0027886,no,ARI,,2,1,,,,,0,,,,,,,,,0,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Henderson,00-0022929,yes,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,8,6,8,1,0,0,,16,52,,,,,,,,
P.Peterson,00-0027943,no,ARI,CB,2,0,,,,,0,,,,,,,,,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,42,0,2,0,2,42,,,,,,,,,,,,,,,,,,
M.Ingram,00-0027966,yes,NO,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,1,1,0,0,0,,11,13,15,23,1,1,0,0,,46
G.Hartley,00-0025824,no,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,6,169,1,53,126,,,,18,,6,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Morstead,00-0027114,no,NO,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,22,,11,,,,,,1411,,,,,,,,,,,,,,,,,,,,,,,,195,,11,258,25,25,1,1055,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Stephens-Howling,00-0026956,no,ARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,0,0,0,0,,26
R.Harper,00-0024258,yes,NO,SS,7,0,,,,,0,,,,,,,,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Roberts,00-0027691,no,ARI,WR,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,0,2,0,2,4,41,3,11,17,1,0,0,,22,78,,,,,,,,
K.Kolb,00-0025423,no,ARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,22,139,15,113,3,3,2,-17,1,0,0,,208,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Jenkins,00-0026990,no,NO,FS,5,1,,,,,1,,1,,,2,,,,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Daniel,00-0026544,no,NO,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,46,247,18,90,2,2,4,-33,4,0,0,,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,29,0,0,0,0,,39
S.Bradley,00-0025474,no,ARI,,6,0,,1,,0,0,,,,,1,,3,,2,-10,,15,2,11,1,,,0,,,0,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Campbell,00-0026190,no,ARI,DE,0,0,,,,,0,,,,,,,1,,1,-7,,6,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Lofton,00-0026177,no,NO,MLB,6,0,,1,,3,0,,,,,,,,,0,,,8,1,2,,,,0,,,0,,,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Doucet,00-0026221,no,ARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0,3,4,0,0,0,,19,32,,,,,,,,
J.Galette,00-0027551,no,NO,DE,2,0,,1,1,16,0,,,,,,,3,,0,,1,4,1,1,,,,0,,,0,,,0,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Zastudil,00-0021235,no,ARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,,5,310,14,14,2,762,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Walker,00-0026727,no,ARI,,7,1,,,,,0,,,,,,,2,,1,-8,,12,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Ivory,00-0027531,no,NO,RB,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,2,2,0,0,0,,25,24,41,50,0,0,0,0,,154
B.Williams,00-0027087,no,ARI,,4,0,,,,,0,,,,,2,,,,0,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Talley,00-0026791,no,ARI,,1,0,,,,,0,,,,,1,,,,0,,,9,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Cadet,00-0029205,no,NO,RB,1,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,,1,1,0,2,1,0,,,,,,,,,,,,,,,,,,,104,,121,0,10,0,253,,,,,,,,,,,,,,,,,,,,,,,,,25,1,30,0,7,0,7,29,84,28,30,38,2,0,0,,197,246,38,45,0,0,0,0,,128
S.Shanle,00-0022040,yes,NO,,3,0,,,,,0,,,,,,,,,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Ellis,00-0026147,yes,NO,,2,0,,1,,0,0,,,,,,,1,,0,,,1,,,,,,0,,,0,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Sherman,00-0028074,no,ARI,FB,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,11,3,4,7,1,0,0,,6,14,,,,,,,,
C.White,00-0029658,no,NO,DB,3,1,,,,,0,,,,,1,,,,0,,,16,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Skelton,00-0027754,no,ARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,14,102,11,90,2,2,1,-7,1,0,0,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,0,0,0,0,,-1
T.Heap,00-0020516,no,ARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0,8,11,0,0,0,,16,60,,,,,,,,
M.Wilson,00-0028010,no,NO,,4,0,,,,,0,,,,,,,2,,1.5,-18,,7,3,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Roby,00-0023503,no,NO,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,33,0,1,0,33,,,,,,,,,,,,,,,3,30,,,,,,,,,,,,,,,,,58,0,10,14,0,0,0,,54,146,,,,,,,,
A.Jefferson,00-0027350,no,ARI,,0,0,,,,,0,,,,,1,,,,0,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,42,0,4,0,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Sanders,00-0023567,no,ARI,,4,0,,,,,0,,,,,1,,,,0,,,9,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Higgins,00-0028522,no,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,0,14,19,0,0,0,,54,139,,,,,,,,
I.Abdul-Quddus,00-0028564,no,NO,SS,6,2,,,,,1,,0,,,1,,,,0,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Patrick,00-0028026,no,NO,,2,0,,,,,0,,,,,,,,,0,,,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Hawthorne,00-0025999,yes,NO,OLB,1,0,,,,,0,,,,,,,,,0,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Fitzgerald,00-0022921,no,ARI,WR,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,0,7,10,0,0,0,,30,118,,,,,,,,
J.Amaya,00-0027355,no,NO,,3,0,,,,,0,,,,,,,,,0,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Smith,00-0027346,no,ARI,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,2,5,0,0,0,,9,17,28,49,4,1,0,0,,112
M.Johnson,00-0027806,no,NO,,3,0,,,,,1,,1,,,1,,1,,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Jordan,00-0027962,no,NO,DE,5,0,,,,,0,,,,,1,,1,,1,-7,,4,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Bunkley,00-0024229,no,NO,,1,0,,,,,0,,,,,,,1,,0,,,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.Powell,00-0028736,no,ARI,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,1,0,0,1,0,,,,,,,,,,,,,,,,,,,88,,132,0,10,0,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,5,7,0,0,0,,31,40,42,123,16,3,0,0,,249
T.McBride,00-0025441,no,NO,,5,1,,,,,0,,,,,,,,,1,-9,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Ayodele,00-0024073,yes,NO,,4,0,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Coleman,00-0027209,no,ARI,,2,0,,,,,0,,,,,,,,,0,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Scott,00-0028940,yes,NO,,0,0,,,,,1,,0,,,2,,,,0,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,67,0,1,0,67,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,
C.Haggans,00-0019538,no,ARI,,3,0,,1,,-3,0,,,,,,,,,0,,,4,,,,,1,1,,,0,,,1,1,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.Toler,00-0026910,no,ARI,CB,1,0,,,,,0,,,,,,,,,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Carter,00-0028122,no,ARI,,0,0,,,,,0,,,,,,,3,,1,-8,,5,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Kasay,00-0009028,no,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,2,68,2,95,68,,,,6,,2,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Young,00-0028731,no,ARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Bartel,00-0025749,no,ARI,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,0,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,18,12,164,6,75,,0,9,-55,1,0,0,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,0,0,0,,5
M.Floyd,00-0029638,no,ARI,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,,,,,,,,,,,,,,52,22,5,13,1,0,0,,12,56,,,,,,,,
R.Housler,00-0028007,no,ARI,TE,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,6,9,0,0,0,,33,77,,,,,,,,
T.Johnson,00-0024030,no,NO,DT,3,0,,,,,0,,,,,,,1,,0.5,-9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Tanner,00-0027616,no,NO,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,0,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,8,10,0,0,0,,50,120,,,,,,,,
J.Casillas,00-0026832,no,NO,OLB,7,0,,,,,0,,,,,,,,,0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Johnson,00-0026333,no,ARI,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,0,2,1,0,,,,,,,,,,,,,,,,,,,40,,40,0,2,0,40,,,,,,,,,,,,,,,,,,,,,,,,,13,1,18,0,9,0,9,33,24,18,2,6,1,0,0,,3,24,1,8,0,0,0,0,,8
N.Bussey,00-0028181,no,NO,,4,0,,,,,0,,,,,,,,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Schmitt,00-0025681,no,ARI,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,5,,2,,,,,,339,,,,,,,,,,,,,,,,,,,,,,,,110,,3,157,12,12,,537,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Cohen,00-0026356,no,ARI,,1,0,,,,,0,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Gideon,00-0029346,no,ARI,,3,0,,,,,1,,0,,,1,,,,0,,,12,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Walker,00-0029208,no,NO,DT,0,0,,,,,0,,,,,,,4,,3,-18,,8,3,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Bethel,00-0029530,no,ARI,CB,1,0,1,,,,0,,,1,19,,1,,,0,,1,18,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Canfield,00-0027830,no,NO,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,71,46,196,25,169,3,3,4,-37,0,0,0,,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,0,0,0,,3
J.Banyard,00-0029048,no,NO,RB,,,,,,,,,,,,,,,,,,,3,,,,,,0,,,1,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,6,9,0,0,0,,29,25,26,39,0,0,0,0,,97
Q.Groves,00-0026192,no,ARI,,0,0,,,,,0,,,,,,,2,,2,-14,,12,4,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Lindley,00-0029531,no,ARI,QB,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,1,,,3,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,92,48,343,44,482,3,3,4,-41,1,0,0,,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0,0,0,0,,-1
J.Nelson,00-0029207,no,NO,,4,0,,,,,0,,,,,,,,,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Anderson,00-0028883,no,NO,,6,0,,,,,0,,,,,1,,1,,1,-7,,6,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Byrd,00-0029343,no,ARI,,,,,1,,0,,,,,,,,,,,,,,,,,,,0,,,0,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,77,0,12,17,0,0,0,,41,148,,,,,,,,
J.Gumbs,00-0029170,no,NO,,3,0,,,,,0,,,,,,,1,,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.Williams,00-0026864,no,ARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,91,0,6,11,0,0,0,,40,163,,,,,,,,
