name,id,home,team,pos,defense_ast,defense_ffum,defense_fgblk,defense_frec,defense_frec_tds,defense_frec_yds,defense_int,defense_int_tds,defense_int_yds,defense_misc_yds,defense_pass_def,defense_puntblk,defense_qbhit,defense_safe,defense_sk,defense_sk_yds,defense_tds,defense_tkl,defense_tkl_loss,defense_tkl_loss_yds,defense_tkl_primary,fumbles_forced,fumbles_lost,fumbles_notforced,fumbles_oob,fumbles_rcv,fumbles_rec,fumbles_rec_yds,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_all_yds,kicking_fga,kicking_fgb,kicking_fgm,kicking_fgm_yds,kicking_fgmissed,kicking_fgmissed_yds,kicking_fgyds,kicking_i20,kicking_rec,kicking_tot,kicking_totpfg,kicking_touchback,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kicking_yds,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,kickret_yds,passing_att,passing_cmp,passing_cmp_air_yds,passing_incmp,passing_incmp_air_yds,passing_int,passing_ints,passing_sk,passing_sk_yds,passing_tds,passing_twopta,passing_twoptm,passing_twoptmissed,passing_yds,penalty,penalty_yds,punting_avg,punting_blk,punting_i20,punting_lng,punting_pts,punting_tot,punting_touchback,punting_yds,puntret_avg,puntret_fair,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,puntret_tot,puntret_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_twoptmissed,receiving_yac_yds,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_twoptmissed,rushing_yds
E.Manuel,00-0030526,no,BUF,QB,,,,,,,,,,,,,,,,,,1,,,,1,1,,,0,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,82,50,293,32,279,2,2,7,-27,1,0,0,,517,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,0,0,0,,8
S.Watkins,00-0031325,no,BUF,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,3,8,0,0,0,,3,21,,,,,,,,
F.Jackson,00-0024204,no,BUF,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0,13,17,0,0,0,,61,68,18,29,8,1,0,0,,58
P.Amukamara,00-0027957,no,NYG,CB,2,0,,,,,0,,,,,,,,0,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Moorman,00-0011626,no,BUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,,5,251,16,16,1,644,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Williams,00-0027972,no,BUF,SS,4,0,,,,,0,,,,,,,,0,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Hughes,00-0027881,no,BUF,DE,3,0,,,,,0,,,,,,,,0,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ma.Williams,00-0023750,no,BUF,DE,2,0,,,,,0,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Brooks,00-0029280,no,BUF,CB,2,0,,,,,0,,,,1,,,,0,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Williams,00-0024348,no,BUF,DT,0,1,,,,,0,,,,,,,,1,-21,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Rivers,00-0026149,no,BUF,,3,0,,1,,0,0,,,,,,,,0,,,7,2,6,,,0,,,0,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mi.Williams,00-0027702,no,BUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,14,6,8,1,0,0,,18,95,,,,,,,,
J.Williams,00-0028140,no,NYG,,10,0,,,,,0,,,,1,,,,0,,,10,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Pierre-Paul,00-0027867,no,NYG,DE,2,0,,,,,0,,,,2,,1,,0,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Carpenter,00-0026003,no,BUF,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,9,,7,276,2,94,146,,,5,21,4,6,0,6,0,6,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Charles,00-0030132,no,BUF,DT,2,1,,,,,0,,,,,,1,,2,-9,,11,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Searcy,00-0028038,no,BUF,SS,2,0,,,,,2,,34,,2,,,,0,,,9,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,1,1,0,0,0,,5,5,,,,,,,,
M.Butler,00-0028662,no,BUF,DB,1,0,,,,,0,,,,,,,,0,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Williams,00-0031055,no,NYG,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,38,110,4,2,0,0,,195
R.Johnson,00-0031026,no,BUF,OLB,4,0,,,,,0,,,,,,1,,1,-6,,12,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Brown,00-0031171,no,BUF,MLB,8,0,,,,,0,,,,,,,,0,,,10,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Fells,00-0023752,no,NYG,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,36,0,2,3,0,0,0,,11,36,,,,,,,,
J.Brown,00-0021940,no,NYG,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,4,,4,151,,,90,3,,14,12,9,10,0,10,0,10,892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Tuel,00-0030024,no,BUF,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,45,29,125,16,211,2,2,6,-19,2,0,0,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,35,0,0,0,0,,35
T.Graham,00-0029660,no,BUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,99,0,5,0,117,,,,,,,,,,,,,,,1,5,,,,,,,,,32,2,51,0,11,0,11,77,58,0,5,14,0,0,0,,33,66,,,,,,,,
R.Woods,00-0030431,no,BUF,WR,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,2,15,27,1,0,0,,71,204,,,,,,,,
W.Thurmond,00-0027711,no,NYG,SS,2,0,,,,,0,,,,1,,,,0,,,7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Rolle,00-0023443,no,NYG,SS,1,0,,,,,0,,,,1,,,,0,,,7,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Dixon,00-0027772,no,BUF,RB,1,0,,,,,0,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0,7,8,0,0,0,,25,36,31,43,2,2,0,0,,115
C.Hogan,00-0028237,no,BUF,WR,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,0,9,19,0,0,0,,50,99,,,,,,,,
Z.Bowman,00-0026282,no,NYG,,0,0,,,,,2,,0,,3,,,,0,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Taylor,00-0030087,no,NYG,DB,4,0,,,,,1,,0,,2,,,,0,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Kennard,00-0031241,no,NYG,OLB,9,0,,,,,0,,,,,,2,,1,-5,,14,3,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Hosley,00-0029267,no,NYG,CB,0,0,,,,,0,,,,1,,,,0,,,8,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,64,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
B.Brown,00-0029429,no,BUF,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,0,8,11,0,0,0,,37,68,34,62,0,0,0,0,,152
S.Adkins,00-0027123,no,NYG,,2,0,,1,1,0,0,,,,,,,,0,,1,5,,,1,,0,,,0,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Rodgers-Cromartie,00-0026156,no,NYG,CB,2,0,,,,,0,,,,2,,,,0,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Wynn,00-0026930,no,BUF,DT,2,1,,,,,0,,,,,,1,,2,-27,,3,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Meeks,00-0030084,no,BUF,DB,0,0,,,,,1,,9,,1,,,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Nassib,00-0030586,no,NYG,QB,,,,,,,,,,,,,,,,,,,,,,,1,1,,0,,-7,1,0,-7,,,,,,,,,,,,,,,,,,,,,,,,,,74,44,327,30,343,,0,1,-3,5,1,0,1,588,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,6,-4,0,0,0,0,,-6
L.Donnell,00-0028838,no,NYG,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,,,,,,,,,,,,,,,,,39,0,7,12,0,0,0,,55,86,,,,,,,,
D.Williams,00-0030073,no,BUF,SS,1,0,,,,,0,,,,,,,,0,,,10,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Harris,00-0028627,no,NYG,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,9,14,0,0,0,,47,93,,,,,,,,
P.Hillis,00-0026367,no,NYG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4,0,1,2,0,0,0,,0,-4,18,21,1,1,0,0,,76
M.Lawson,00-0024237,no,BUF,OLB,2,0,,1,,0,0,,,,1,,1,,0,,,4,1,1,2,,0,,,0,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.McManus,00-0029822,no,NYG,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,6,,4,153,2,106,133,,,16,12,15,6,0,6,0,6,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Herzlich,00-0028620,no,NYG,OLB,8,0,,,,,0,,,,,,,,0,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Moore,00-0030069,no,NYG,DE,6,0,,1,,0,0,,,,,,6,,4,-26,,11,5,18,2,,0,,,0,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Easley,00-0027708,no,BUF,WR,,,,,,,,,,,,1,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
P.Parker,00-0027450,no,NYG,,,,,,,,,,,,,,,,,,,,,,,,0,1,,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,87,89,0,5,0,106,,,,,,,,,,,,,,,,,,,,,,,,,37,4,58,0,10,0,10,75,77,39,8,16,1,0,0,,27,119,,,,,,,,
B.Felder,00-0029070,yes,BUF,,0,0,,,,,0,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Sylvester,00-0027765,no,BUF,,0,0,,,,,0,,,,,,,,0,,,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Talley,00-0029367,no,NYG,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,27,0,5,11,0,0,0,,24,38,,,,,,,,
C.James,00-0030263,no,NYG,DB,1,0,,,,,0,,,,1,,,,0,,,5,,,,,1,1,,0,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,,,,,,,,,0,,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,
Q.Demps,00-0026257,no,NYG,SS,2,0,,,,,0,,,,1,,,,0,,,5,,,1,1,1,,,0,,,1,0,0,,,,,,,,,,,,,,,,,,,,75,86,0,5,0,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Hankins,00-0030063,no,NYG,DT,3,0,,,,,0,,,,,,,,0,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.Berhe,00-0031070,no,NYG,SS,7,1,,,,,0,,,,,,,,0,,,11,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Adams,00-0029047,no,NYG,,1,0,,,,,0,,,,,,,,0,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Quarles,00-0030775,no,NYG,DT,2,0,,,,,0,,,,,,,,0,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Rodriguez,00-0029276,no,BUF,,,,,,,,,,,,,,,,,,,2,,,,1,1,,,0,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0,2,3,0,0,0,,35,26,2,2,0,0,0,0,,3
J.Bromley,00-0031403,no,NYG,DT,3,0,,,,,0,,,,,,,,0,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Lewis,00-0027253,no,BUF,QB,,,,,,,,,,,,,,,,,,,,,,,0,1,,1,1,-4,2,1,-4,,,,,,,,,,,,,,,,,,,,,,,,,,33,17,55,16,176,2,2,2,-5,0,0,0,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,0,0,0,0,,11
J.Smith,00-0029112,no,BUF,DE,3,0,,,,,0,,,,,,1,,0,,,5,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Gragg,00-0030049,no,BUF,TE,,,,,,,,,,,,,,,,,,,,,,1,0,,,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,10,15,0,0,0,,34,66,,,,,,,,
M.Manningham,00-0026235,no,NYG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,2,5,0,0,0,,7,22,,,,,,,,
K.McIlwain,00-0028325,no,BUF,,2,0,,,,,0,,,,,,,,0,,,11,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Gaskins,00-0030039,no,NYG,RB,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0,5,8,0,0,0,,48,34,29,46,0,0,0,0,,104
J.Harley,00-0030628,no,BUF,,1,0,,,,,0,,,,,,,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Cohen,00-0026356,no,BUF,,2,0,,1,,59,0,,,,,,,,0,,,8,6,18,1,,0,,,0,,,0,1,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Davis,00-0026298,no,NYG,TE,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,3,3,1,0,0,,9,12,,,,,,,,
J.Dombrowski,00-0030643,no,BUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,1,148,4,4,,193,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Ladler,00-0030908,yes,BUF,,4,0,,,,,0,,,,,,,,0,,,8,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Powell,00-0030118,no,BUF,LB,6,0,,,,,0,,,,1,,,,0,,,10,2,4,4,,0,,,1,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Washington,00-0030897,no,NYG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,128,111,10,13,4,0,0,,42,155,,,,,,,,
R.Wingo,00-0029791,no,BUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,1,2,0,0,0,,7,7,8,20,0,0,0,0,,40
K.Wynn,00-0030776,no,NYG,DE,2,0,,,,,0,,,,,,4,,2,-10,,12,3,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Elliott,00-0029055,no,BUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,10,0,1,3,0,0,0,,0,10,,,,,,,,
J.Gaines,00-0030904,no,BUF,,2,0,,,,,0,,,,,,,,0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
