name,id,home,team,pos,defense_ast,defense_ffum,defense_fgblk,defense_frec,defense_frec_tds,defense_frec_yds,defense_int,defense_int_tds,defense_int_yds,defense_misc_tds,defense_misc_yds,defense_pass_def,defense_puntblk,defense_qbhit,defense_safe,defense_sk,defense_sk_yds,defense_tds,defense_tkl,defense_tkl_loss,defense_tkl_primary,defense_xpblk,fumbles_forced,fumbles_lost,fumbles_notforced,fumbles_oob,fumbles_rcv,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgb,kicking_fgm,kicking_fgm_yds,kicking_fgmissed,kicking_fgmissed_yds,kicking_fgyds,kicking_i20,kicking_rec,kicking_tot,kicking_totpfg,kicking_touchback,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kicking_yds,kickret_avg,kickret_fair,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,kickret_yds,passing_att,passing_cmp,passing_cmp_air_yds,passing_incmp,passing_incmp_air_yds,passing_int,passing_ints,passing_sk,passing_sk_yds,passing_tds,passing_twopta,passing_twoptm,passing_twoptmissed,passing_yds,penalty,penalty_yds,punting_avg,punting_blk,punting_i20,punting_lng,punting_pts,punting_tot,punting_touchback,punting_yds,puntret_avg,puntret_fair,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,puntret_tot,puntret_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_twoptmissed,receiving_yac_yds,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_twoptmissed,rushing_yds
J.Finley,00-0026231,no,GB,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,,,,,,,,,,,,,,,,,346,35,55,92,8,1,0,1,226,767,,,,,,,,
J.Starks,00-0027791,no,GB,RB,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,0,29,37,0,0,0,,256,216,133,211,17,1,0,0,,578
T.Lang,00-0027078,no,GB,G,,,,,,,,,,,,,,,,,,,2,,,,,0,,,1,1,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Meachem,00-0025414,no,NO,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,,,,,,,,,,,,,,,,,329,161,41,61,6,0,0,,109,658,5,18,0,0,0,0,,26
M.Burnett,00-0027676,no,GB,SS,30,2,,2,,25,3,,0,,,11,,2,,1,-3,,76,1,11,,,0,,,0,,,,0,2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Hawk,00-0024220,no,GB,OLB,31,0,,,,,0,,,,,3,,2,,1.5,-19,,53,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Matthews,00-0027002,no,GB,ILB,13,3,,,,,3,1,47,,,9,,22,,6,-29,1,37,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Sproles,00-0023564,no,NO,RB,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,531,0,40,0,1089,,,,,,,,,,,,,,,,,,,,,,,,,128,19,216,72,29,1,29,297,286,76,86,111,7,0,0,,717,710,88,293,46,2,0,0,,604
D.Bishop,00-0025579,no,GB,,25,2,,,,,0,,,,,1,,8,,5,-49,,91,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Thomas,00-0024813,no,NO,,0,0,,,,,0,,,,,,,,,0,,,2,,,,1,1,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,15,,15,0,1,0,15,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,269,6,50,59,1,0,0,,462,425,110,204,29,5,1,0,1,562
R.Pickett,00-0020515,no,GB,,8,0,,,,,0,,,,,2,,,,0,,,25,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Kasay,00-0009028,no,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,28,959,6,284,517,1,,8,84,3,63,0,63,0,63,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Dunbar,00-0025838,no,NO,,22,2,,,,,0,,,,,6,,1,,1,-3,,56,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Smith,00-0028124,no,GB,,11,0,,,,,1,,11,,,1,,,,0,,,32,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Raji,00-0026985,no,GB,NT,8,0,,1,,1,0,,,,,2,,3,,3,-15,,15,2,4,,,0,,,0,,,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,,1
J.Graham,00-0027696,no,NO,TE,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,2,,2,0,1,0,2,,,,,,,,,,,,,,,4,30,,,,,,,,,,,,,,,,,439,116,99,149,11,0,0,,466,1310,,,,,,,,
D.Henderson,00-0022929,no,NO,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,281,108,31,49,2,0,0,,173,495,1,9,0,0,0,0,,9
E.Walden,00-0026307,no,GB,OLB,19,1,,1,1,5,0,,,,,3,,12,,3,-17,1,41,6,4,,,0,,,0,,,,0,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Woodson,00-0018227,no,GB,FS,12,1,,1,,-1,7,1,63,,,16,,3,,2,-11,1,63,4,3,,,0,,,0,,,,0,1,-1,,,,,,,,,,,,,,,,,,,9,,9,0,1,0,9,,,,,,,,,,,,,,,7,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turk.McBride,00-0025441,no,NO,,1,1,,,,,0,,,,,,,2,,2,-10,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Masthay,00-0026664,no,GB,P,,,,,,,,,,,,,,,,,,,1,,,,,0,2,1,1,1,,0,2,1,0,,,,,,,,,,2,,,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,637,,23,863,55,55,4,2506,,,,,,,,,,,,,,,,,,,1,6,0,0,0,0,,6
A.Franklin,00-0022147,no,NO,,7,1,,,,,0,,,,,,,,,1,-5,,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Charleston,00-0023847,no,NO,,5,0,,,,,0,,,,,,,3,,1,-4,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.King,00-0026548,no,NO,,2,0,,,,,0,,,,,,,,,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Vilma,00-0022778,no,NO,,17,1,,3,1,0,0,,,,,3,,1,,0,,1,36,1,3,,,0,,,0,,,,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Galette,00-0027551,no,NO,DE,8,0,,,,,0,,,,,,,11,,4.5,-46,,11,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Crabtree,00-0026878,no,GB,,1,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,11,0,1,0,11,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,38,5,6,8,1,0,0,,20,38,,,,,,,,
J.Wynn,00-0026930,no,GB,DT,6,0,,,,,0,,,,,,,3,,3,-16,,13,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Thomas,00-0024301,no,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,20,0,5,9,0,0,0,,13,16,,,,,,,,
J.Kuhn,00-0022999,no,GB,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,,,,,,,,,,,,,,74,11,15,18,2,0,0,,61,77,30,37,5,4,0,0,,78
H.Green,00-0021099,no,GB,,8,0,,,,,0,,,,,,,,,0,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Collins,00-0026072,no,NO,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,7,0,1,0,7,,,,,,,,,,,,,,,5,50,,,,,,,,,,,,,,,,,47,2,11,14,2,0,0,,52,50,4,4,2,2,0,0,,4
J.Bush,00-0023918,no,GB,,4,0,,,,,2,,39,,,6,,3,,1.5,-18,,26,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,0,,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,
W.Herring,00-0025548,no,NO,,1,0,,,,,1,,0,,,1,,,,0,,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Jones,00-0025465,no,GB,WR,,,,,,,,,,,,,,,,,,,1,,,,1,0,,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,,,,,,,,,,,,,,,,,376,214,38,55,7,0,0,,270,635,,,,,,,,
S.Rogers,00-0020528,no,NO,,8,0,,,,,0,,,,,1,,2,,0,,,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Webb,00-0027060,no,BAL,CB,13,1,,,,,5,1,81,,,20,,2,,1.0,-11,1,55,1,5,,,0,2,,2,2,,0,2,2,0,,,,,,,,,,,,,,,,,,,59,,59,0,2,0,59,,,,,,,,,,,,,,,4,64,,,,,,,,,112,20,186,68,30,1,30,301,,,,,,,,,,,,,,,,,,
E.Sanders,00-0027685,no,PIT,WR,1,,,1,,0,,,,,,,,,,,,,1,,,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,35,,41,0,5,0,93,1,1,15,,,,0,,,0,0,0,,15,3,20,,,,,,,,,14,,18,0,3,0,3,22,180,15,22,43,2,0,0,,128,288,,,,,,,,
J.Worilds,00-0027889,no,PIT,,11,1,,,,,0,,,,,,,7,,3,-16,,27,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Suisham,00-0023001,no,PIT,K,3,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,31,1,23,759,8,339,462,12,,72,69,28,36,0,36,0,36,4698,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Timmons,00-0025402,no,PIT,ILB,25,1,,,,,1,,0,,,5,,6,,2,-13,,68,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Rice,00-0026195,no,BAL,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,0,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,0,,,1,0,0,,1,1,14,,,,,,,,,,,,,,,,,326,84,76,104,3,0,0,,658,704,290,440,95,12,0,0,,1362
A.Boldin,00-0022084,no,BAL,WR,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,373,67,57,106,3,0,0,,220,887,,,,,,,,
J.Flacco,00-0026158,no,BAL,QB,,,,,,,,,,,,,,,,,,,2,,,,10,6,1,,4,4,,-7,11,4,-7,,,,,,,,,,,,,,,,,,,,,,,,,,542,312,2006,230,2958,12,12,31,-203,20,0,0,,3610,6,30,,,,,,,,,,,,,,,,,-8,0,1,1,0,0,0,,-8,-8,40,79,1,1,0,0,,90
B.Cundiff,00-0020972,no,BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,28,951,9,407,488,1,,77,84,45,38,0,38,0,38,4931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Ayanbadejo,00-0000551,no,BAL,,4,0,,,,,0,,,,,2,,4,,1.5,-11,,32,2,2,,,0,,,2,2,,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Brown,00-0027793,no,PIT,WR,0,0,,,,,0,,,,,,,,,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,,406,0,27,0,737,,,,,,,,,,,,,,,3,23,,,,,,,,,132,26,257,60,30,1,30,323,444,86,69,124,2,0,0,,372,1108,7,39,0,0,0,0,,41
E.Reed,00-0021377,no,BAL,,8,1,,,,,3,,25,,,8,,1,,1,-4,,44,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,,,,,,,,,29,5,29,0,3,0,3,29,,,,,,,,,,,,,,,,,,
R.Mendenhall,00-0026163,no,PIT,,,,,,,,,,,,,,,,,,,,2,,,,1,1,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,0,18,28,0,0,0,,147,154,228,290,28,9,0,0,,928
R.Lewis,00-0009889,no,BAL,,23,2,,,,,1,,4,,,7,,4,,2,-16,,72,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Ward,00-0017162,no,PIT,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,190,7,46,63,2,0,0,,167,381,,,,,,,,
B.Roethlisberger,00-0022924,no,PIT,QB,,,,,,,,,,,,,,,,,,,2,,,,7,5,1,,2,2,,-10,8,2,-10,,,,,,,,,,,,,,,,,,,,,,,,,,513,324,2280,189,2361,14,14,40,-269,21,0,0,,4077,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,31,58,0,0,0,0,,70
M.Wallace,00-0026901,no,PIT,WR,,,,,,,,,,,,,,,,,,,2,,,,,1,1,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,25,,,,,,,,,,,,,,,,,580,290,72,114,8,0,0,,480,1193,5,42,0,0,0,0,,57
Ca.Williams,00-0026369,no,BAL,CB,16,2,,,,,0,,,,,18,,,,0,,,61,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Sepulveda,00-0025499,no,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,12,,,,0,,,0,0,0,,33,1,5,295,1,8,416,25,25,5,1153,,,,,,,,,,,,,,,,,,,,,,,,,,
B.McFadden,00-0023497,no,PIT,,3,1,,,,,0,,,,,1,,,,0,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Grubbs,00-0025416,no,BAL,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Harrison,00-0020712,no,PIT,OLB,11,2,,,,,0,,,,,,,15,,9,-54,,48,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
