name,id,home,team,pos,defense_ast,defense_ffum,defense_fgblk,defense_frec,defense_frec_tds,defense_frec_yds,defense_int,defense_int_tds,defense_int_yds,defense_misc_tds,defense_misc_yds,defense_pass_def,defense_puntblk,defense_qbhit,defense_safe,defense_sk,defense_sk_yds,defense_tds,defense_tkl,defense_tkl_loss,defense_tkl_primary,defense_xpblk,fumbles_forced,fumbles_lost,fumbles_notforced,fumbles_oob,fumbles_rcv,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgb,kicking_fgm,kicking_fgm_yds,kicking_fgmissed,kicking_fgmissed_yds,kicking_fgyds,kicking_i20,kicking_rec,kicking_tot,kicking_totpfg,kicking_touchback,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kicking_yds,kickret_avg,kickret_fair,kickret_lng,kickret_ret,kickret_tds,kickret_yds,passing_att,passing_cmp,passing_cmp_air_yds,passing_incmp,passing_incmp_air_yds,passing_int,passing_ints,passing_sk,passing_sk_yds,passing_tds,passing_twopta,passing_twoptm,passing_twoptmissed,passing_yds,penalty,penalty_yds,punting_avg,punting_blk,punting_i20,punting_lng,punting_pts,punting_tot,punting_touchback,punting_yds,puntret_avg,puntret_fair,puntret_lng,puntret_ret,puntret_tds,puntret_tot,puntret_yds,receiving_lng,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_twoptmissed,receiving_yac_yds,receiving_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_twoptmissed,rushing_yds
J.Gage,00-0021982,no,TEN,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,,,,,,,,,,,,,,,,172,28,67,3,0,0,,66,383,,,,,,,
K.Britt,00-0027006,no,TEN,WR,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,137,,200,24,0,523,,,,,,,,,,,,,,,2,15,,,,,,,,,,,,,,,,377,42,75,3,0,0,,180,701,,,,,,,
J.Haye,00-0023622,no,TEN,,12,0,,,,,0,,,,,,,1,,0.5,-7,,20,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V.Fuller,00-0023543,no,TEN,,7,0,,,,,3,2,71,,,7,,1,,1,-7,2,27,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Smith,00-0015080,no,PIT,,3,0,1,,,,0,,,,,,,2,,2,-13,,6,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Harrison,00-0020712,no,PIT,OLB,19,5,,2,,0,0,,,,,3,,13,,10,-62,,60,14,12,,,0,,,0,,,,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,61,,,,,,,,,1,,1,1,0,1,1,,,,,,,,,,,,,,,,
L.Woodley,00-0025433,no,PIT,OLB,12,1,,1,1,77,0,,,,,6,,21,,13.0,-87,1,50,19,11,,,0,,,0,,,,0,1,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.Harper,00-0019733,no,TEN,,12,0,,,,,1,,4,,,6,,1,,0,,,69,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Kearse,00-0009056,no,TEN,,3,0,,1,,0,0,,,,,,,2,,1,-6,,1,1,,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Thornton,00-0021230,no,TEN,,13,1,,,,,0,,,,,,,,,1,-16,,45,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Starks,00-0022785,no,PIT,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Moore,00-0022217,no,PIT,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,25,4,0,44,1,1,6,,,,0,,,1,0,0,,6,1,10,,,,,,,,,3,8,3,3,0,3,3,84,21,31,2,0,0,,140,153,35,83,0,0,0,,118
R.Mundy,00-0026334,no,PIT,SS,8,0,,,,,0,,,,,1,,,,0,,,17,,4,,,1,1,,1,1,,0,1,1,0,,,,,,,,,,,,,,,,,,,0,,0,1,0,0,,,,,,,,,,,,,,,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Townsend,00-0016577,no,PIT,,3,0,,,,,1,,-1,,,3,,1,,0,,,24,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.Washington,00-0023367,no,TEN,WR,,,,,,,,,,,,,,,,,,,2,,,,1,0,,,1,1,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,276,47,95,6,0,0,,104,569,2,15,0,0,0,,15
C.Hoke,00-0019940,no,PIT,,3,0,,,,,0,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.Gay,00-0025557,no,PIT,CB,9,1,,,,,0,,,,,10,,3,,1.5,-11,,70,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.Taylor,00-0021891,no,PIT,,9,0,,1,,1,1,,20,,,13,,1,,1,-8,,53,1,5,,,0,,,0,,,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Reed,00-0020737,no,PIT,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,31,,27,896,4,186,486,7,,81,81,3,41,0,41,0,41,4840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Ringer,00-0027120,no,TEN,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,46,9,0,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,33,0,0,0,,48
A.Harrison,00-0022998,no,PIT,,5,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Frazier,00-0022997,no,PIT,,6,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Carter,00-0019537,no,PIT,,12,1,,1,,6,2,1,53,,,4,,,,0,,1,49,5,7,,,0,,,0,,,,0,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Roos,00-0023476,no,TEN,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Vanden Bosch,00-0020382,no,TEN,,12,2,,,,,0,,,,,1,,14,,3,-8,,32,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Bailey,00-0025833,no,PIT,,,,,,,,,,,,,,,,,,,,14,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Stevens,00-0026225,no,TEN,TE,1,,,,,,,,,,,,,,,,,,11,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,14,1,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
C.Allred,00-0023812,no,TEN,,11,0,,,,,0,,,,,,,,,0,,,8,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.McRath,00-0027095,no,TEN,,15,0,,,,,1,,1,,,1,,,,0,,,33,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Hilliard,00-0026344,no,MIA,,2,,,,,,,,,,,,,,,,,,12,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,77,20,20,2,0,0,,124,158,23,53,1,0,0,,89
D.Carpenter,00-0026003,no,MIA,K,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,28,,25,880,3,141,505,9,,80,75,7,38,1,37,1,37,4985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Weems,00-0024535,no,ATL,WR,,,,,,,,,,,,,,,,,,,10,,2,,2,2,1,,0,,,,3,0,0,,,,,,,,,,,,,,,,,,,399,,502,48,0,1214,,,,,,,,,,,,,,,1,5,,,,,,,,,129,14,176,27,0,27,260,42,6,6,2,0,0,,22,50,8,66,0,0,0,,53
N.Jones,00-0022828,no,MIA,,9,2,,,,,2,,0,,,10,,1,,1,-8,,45,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Starks,00-0022805,no,MIA,DE,14,0,,1,,0,0,,,,,,,16,,7.0,-43,,42,10,8,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Turner,00-0022821,no,ATL,,,,,,,,,,,,,,,,,,,,1,,,,4,2,,,1,1,,0,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,5,7,0,0,0,,27,35,178,254,10,0,0,,871
G.Wilson,00-0022815,no,MIA,,20,0,,,,,0,,,,,8,,3,,1,-7,,75,1,15,,,0,,,1,1,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Ayodele,00-0021214,no,MIA,,10,1,,1,,2,0,,,,,,,2,,0,,,61,3,16,,1,0,,,1,1,,0,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Gonzalez,00-0006101,no,ATL,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,,,,,,,,,,,,,273,83,135,6,0,0,,240,867,,,,,,,
M.Ryan,00-0026143,no,ATL,QB,,,,,,,,,,,,,,,,,,,,,,,5,2,,,2,2,,0,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,451,263,1744,188,2002,14,14,19,-92,22,1,0,1,2916,1,10,,,,,,,,,,,,,,,,,,,,,,,,,30,37,1,0,0,,49
Y.Bell,00-0022067,no,MIA,,22,0,,,,,3,,48,,,9,,3,,1.5,-10,,91,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Norwood,00-0024294,no,ATL,,2,0,,,,,0,,,,,,,,,0,,,1,,,,1,1,,,1,1,,2,1,1,2,,,,,,,,,,,,,,,,,,,39,,39,1,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,19,22,1,0,0,,148,186,76,102,0,0,0,,252
J.Porter,00-0013126,no,MIA,,7,1,,1,,0,0,,,,,1,,13,,9.0,-50,,34,10,1,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Smith,00-0027037,no,MIA,CB,7,0,,1,,0,0,,,,,12,,,,0,,,31,,4,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.Allen,00-0020467,no,MIA,,2,0,,,,,2,,27,,,6,,,,0,,,19,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.White,00-0023462,no,ATL,WR,,1,,,,,,,,,,,,,,,,,3,,,,1,0,,1,1,1,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,55,,,,,,,,,,,,,,,,480,85,165,11,0,0,,397,1153,1,2,0,0,0,,2
M.Jenkins,00-0022781,no,ATL,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,,,,,,,,,,,,,319,50,90,1,0,0,,220,635,,,,,,,
P.Merling,00-0026172,no,MIA,,9,0,,1,,1,0,,,,,3,,3,,1.5,-16,,23,2,6,,,0,,,0,,,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Elam,00-0004811,no,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,12,416,7,277,294,,,,36,,33,0,32,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Nicholas,00-0025496,no,ATL,,14,1,,1,,0,0,,,,,3,,4,,3,-32,,66,4,12,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Brown,00-0023437,no,MIA,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,6,2,17,4,33,,0,1,-9,1,0,0,,22,,,,,,,,,,,,,,,,,,68,14,20,0,0,0,,80,98,147,178,8,0,0,,648
C.Lofton,00-0026177,no,ATL,MLB,28,2,,,,,0,,,,,2,,1,,0,,,105,4,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Pennington,00-0019559,no,MIA,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,74,51,265,23,289,2,2,6,-32,1,0,0,,413,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,0,0,,7
